h_id,h_county,h_lat,h_lon,h_Workers,e_id,e_workplace,e_lat,e_lon
1,Austin,29.8569279,-96.2443229,1069,1,Fort Bend,29.520214,-95.787262
2,Brazoria,29.1610141,-95.4534698,6568,2,Fort Bend,29.520214,-95.787262
3,Chambers,29.7163792,-94.6962763,341,3,Fort Bend,29.520214,-95.787262
4,Colorado,29.6309593,-96.5443489,432,4,Fort Bend,29.520214,-95.787262
5,Fort Bend,29.520214,-95.787262,71481,5,Fort Bend,29.520214,-95.787262
6,Galveston,29.3294758,-94.8954605,2495,6,Fort Bend,29.520214,-95.787262
7,Harris,29.829487,-95.4614249,76087,7,Fort Bend,29.520214,-95.787262
8,Liberty,30.1509076,-94.8587991,682,8,Fort Bend,29.520214,-95.787262
9,Matagorda,28.8152727,-96.0284508,564,9,Fort Bend,29.520214,-95.787262
10,Montgomery,30.3209926,-95.5279082,4979,10,Fort Bend,29.520214,-95.787262
11,Walker,30.7154629,-95.5878106,127,11,Fort Bend,29.520214,-95.787262
12,Waller,29.9363935,-96.0026834,1487,12,Fort Bend,29.520214,-95.787262
13,Wharton,29.2649159,-96.2705795,1893,13,Fort Bend,29.520214,-95.787262
